title,rating,year,wins,nominations,news,reviews
Kick It Like Beckham (2002),6.7,2002,17,18,449,427
Hero Hindustani (1998),4.8,1998,0,0,0,2
Hulk (2003),5.7,2003,2,8,2164,1433
Memories of Videodisc (Video 1986),6.6,1986,0,0,0,1
Spy Kids 2: Die Rückkehr der Superspione (2002),5,2002,3,3,23,103
Daredevil (2003),5.4,2003,4,17,1594,1002
Tangy Guacamole (2003),1.5,2003,0,0,0,9
Eine ganz private Affäre (2002),6.4,2002,0,0,0,6
Chasing Kevin (2000),6,2000,1,0,0,6
Hangmen Also Die! (1943),7.6,1943,2,0,0,45
Der Ärger mit Harry geht weiter (Video 2001),6.6,2001,0,0,0,4
MST3K Little Gold Statue Preview Special (1995),6.8,1995,0,0,0,3
The Book That Wrote Itself (1999),5.2,1999,0,0,4,5
Reine Nervensache 2 (2002),5.8,2002,0,0,81,136
Das Leben des David Gale (2003),7.5,2003,0,0,31,407
Scooby-Doo und die Cyber-Jagd (Video 2001),6.8,2001,0,0,0,16
The Tuxedo - Gefahr im Anzug (2002),5.2,2002,2,1,48,201
Ein himmlischer Sünder (1943),7.6,1943,0,0,6,52
Max (2002),6.6,2002,2,5,80,83
Voll frontal (2002),4.8,2002,0,0,138,167
Irreversibel (2002),7.4,2002,4,5,228,637
Cinderella 2 - Träume werden wahr (Video 2002),4.8,2002,0,0,10,29
Der Sohn (2002),7.6,2002,9,8,2,70
Sennen joyû (2001),7.9,2001,4,8,30,50
Nayak: The Real Hero (2001),7.7,2001,0,0,0,11
Wave Twisters (2001),7.6,2001,1,0,0,8
Screen Snapshots Series 23\,http://www.imdb.com/title/tt0036008/,600,video.movie,0,0,0
Die Hard: Nakatomi Plaza (Video Game 2002),7.2,2002,0,0,0,3
Das Phantom der Oper (2004),7.4,2004,6,27,410,2017
Rush Hour 3 (2007),6.1,2007,0,0,267,220
Noir (TV Series 2001– ),7.4,2001,0,0,3,23
Die Hölle von Oklahoma (1943),6.5,1943,0,0,0,12
Who Wants to Be a Millionaire? (TV Series 2001– ),5.5,2001,0,0,0,0
Jenseits aller Grenzen (2003),6.4,2003,0,0,45,155
Super Star Wars: The Empire Strikes Back (Video Game 1993),7.5,1993,0,0,0,2
Ichi the Killer (2001),7.2,2001,7,2,5,263
Ein Tag mit meinem Bruder (TV Movie 2002),7.9,2002,1,0,0,95
Riddick - Chroniken eines Kriegers (2004),6.7,2004,0,0,945,660
The 69th Annual Academy Awards (1997),6.1,1997,0,7,0,2
Die Strasse der Verlorenen (1943),5.5,1943,0,0,0,0
The Directors The Films of Spike Lee (TV Episode 2000),7.4,2000,0,0,0,0
Dem Himmel so fern (2002),7.4,2002,93,37,401,371
Super Mario Sunshine (Video Game 2002),7.9,2002,1,0,0,16
Drive-in Movie Memories (2001),7.8,2001,2,0,0,2
Jonah: A VeggieTales Movie (2002),6.6,2002,0,0,9,78
Cherish (2002),6.8,2002,0,0,11,42
In America (2002),7.8,2002,22,33,45,267
The 51st Annual Academy Awards (1979),7,1979,0,3,0,1
Chicago (2002),7.2,2002,42,57,197,998
Shanghai Knights (2003),6.2,2003,0,0,85,188
Timeline - Bald wirst du Geschichte sein (2003),5.6,2003,0,0,91,441
Alles ton protimoun gouli (Video 1986),5.6,1986,0,0,0,0
MGM Greatest Moments: A Video Sampler (Video 1987),5.8,1987,0,0,0,2
Nomaden der Lüfte (2001),8,2001,5,12,45,152
Old School - Wir lassen absolut nichts anbrennen (2003),7.2,2003,0,0,682,400
May (2002),6.8,2002,11,4,0,264
Firefly (TV Series 2002–2003),9.2,2002,3,7,2712,631
Bollywood/Hollywood (2002),6.1,2002,3,8,0,56
Chaplin's Goliath (1996),7.1,1996,0,0,0,3
Santa Clause 2 - Eine noch schönere Bescherung (2002),5.5,2002,1,3,79,108
The Lady from Shanghai: A Discussion with Peter Bogdanovich (Video 2000),5.7,2000,0,0,0,1
Solaris (2002),6.2,2002,2,8,266,703
Honogurai mizu no soko kara (2002),6.7,2002,6,1,8,155
Der menschliche Makel (2003),6.3,2003,3,4,86,210
Verloren in La Mancha (2002),7.4,2002,2,9,175,64
The Making of 'Evil Dead II' or The Gore the Merrier (Video 2000),7.5,2000,0,0,0,5
Sahara (1943),7.7,1943,0,0,3,63
Die Träumer (2003),7.2,2003,0,0,117,241
Ruby & Quentin - Der Killer und die Klette (2003),7.1,2003,0,0,2,37
A Mighty Wind (2003),7.3,2003,13,12,177,267
100 Years of Horror: Maniacs (Video 1996),5.4,1996,0,0,0,1
Drei Caballeros im Sambafieber (1942),6.4,1942,1,0,21,14
Die Liga der außergewöhnlichen Gentlemen (2003),5.8,2003,0,0,325,773
Fisfusim (TV Series 1991– ),3.7,1991,0,0,0,0
Monk (TV Series 2002–2009),8,2002,16,38,736,126
The 62nd Annual Academy Awards (1990),5.8,1990,1,4,0,0
Ein Kater macht Theater (2003),3.7,2003,3,13,166,435
Suicide Circle (2001),6.7,2001,2,1,151,142
Mysteries of Love (Video 2002),7,2002,0,0,0,7
Phenomenon II - Ein wunderbares Genie (TV Movie 2003),5.1,2003,0,0,0,10
The 74th Annual Academy Awards (2002),5.5,2002,0,9,0,17
Sweet Sixteen (2002),7.5,2002,9,16,153,74
The Directors The Films of Martin Scorsese (TV Episode 2000),7.4,2000,0,0,0,0
Filantropica (2002),8.6,2002,4,0,0,27
Grand Theft Auto: Vice City (Video Game 2002),9.4,2002,7,2,0,83
Skandinavien: Kino der Neugier (1995),3,1995,0,0,0,0
Tränen der Sonne (2003),6.6,2003,0,0,988,387
Mutige Frauen (1943),7.6,1943,1,0,0,34
New York at the Movies (TV Movie 2002),6.8,2002,0,0,0,3
Bruce Allmächtig (2003),6.7,2003,7,7,489,590
21 Gramm (2003),7.8,2003,28,36,49,540
Anne B. Real (2003),2.1,2003,4,3,0,20
Beyond Titanic (TV Movie 1998),6.9,1998,0,0,0,2
Haus aus Sand und Nebel (2003),7.6,2003,10,19,207,456
Great Performances Kurosawa (TV Episode 2000),7.6,2000,0,0,0,8
Open Range - Weites Land (2003),7.5,2003,1,4,134,479
Some of the Best (1943),7,1943,0,0,0,3
Spider-Man 2 (2004),7.4,2004,17,39,2069,1273
Winn-Dixie - Mein zotteliger Freund (2005),6.3,2005,0,0,39,85
Kino kolossal - Herkules\,http://www.imdb.com/title/tt0317836/,3480,video.movie,0,0,0
HBO First Look (TV Series 1992– ),6.3,1992,0,0,0,2
Der König der Löwen 3: Hakuna Matata (Video 2004),6.6,2004,6,10,21,58
Ponga Pandit (1975),6.7,1975,0,0,0,1
Resident Evil: Apocalypse (2004),6.1,2004,2,3,288,666
Sahara - Abenteuer in der Wüste (2005),6,2005,2,4,482,449
The Day After Tomorrow (2004),6.4,2004,4,8,995,1124
James Cagney: Top of the World (TV Movie 1992),7.1,1992,0,0,0,4
Three Smart Guys (1943),3.1,1943,0,0,0,6
The Rising of the Moon (2002),6.3,2002,0,0,0,0
Scoring Resident Evil (Video 2002),6.2,2002,0,0,0,2
Königreich der Himmel (2005),7.2,2005,4,11,446,920
Underworld (2003),7,2003,1,8,2604,790
Woody Allen: A Life in Film (TV Movie 2002),7.2,2002,0,0,0,3
Who Wants to Be a Millionaire (TV Series 2002– ),6.2,2002,4,17,109,9
Die\,die mommie die,1682,2003,video.movie,2,26
E=mc2 (2002),5.2,2002,0,0,0,2
Freaky Friday - Ein voll verrückter Freitag (2003),6.1,2003,5,9,627,266
Das Leben ist ein Wunder (2004),7.7,2004,5,2,9,26
Die Schlacht um San Pietro (1945),7.1,1945,1,0,0,14
Die Zwillinge (2002),7.5,2002,5,6,4,30
Mike's New Car (Video 2002),7.2,2002,0,0,6,27
A Profile of 'The Life and Death of Colonel Blimp' (Video 2000),7.1,2000,0,0,0,0
Ricordati di me (2003),6.5,2003,5,18,6,20
Soldier's Girl (TV Movie 2003),8,2003,3,10,13,74
The Sound of Music: From Fact to Phenomenon (Video 1994),7.8,1994,0,0,0,0
Suspect Zero - Im Auge des Mörders (2004),5.9,2004,0,0,74,136
Es tanzt die Göttin (1944),7,1944,0,4,200,49
Swimming Pool (2003),6.8,2003,4,16,153,285
20th Century-Fox: The First 50 Years (TV Movie 1997),6.9,1997,0,0,0,3
23rd March 1931: Shaheed (2002),5.1,2002,1,0,0,7
Bright Young Things (2003),6.7,2003,0,0,24,64
Liegen lernen (2003),6.9,2003,3,1,0,8
Masters of the Martial Arts Presented by Wesley Snipes (1998),6.9,1998,0,0,0,1
Shirtless: Hollywood's Sexiest Men (TV Movie 2002),3.4,2002,0,0,0,1
Showboy (2002),5.6,2002,2,0,2,4
In 80 Tagen um die Welt (2004),5.8,2004,0,0,183,181
Welcome to the Jungle (2003),6.7,2003,3,3,223,245
Alarm im Pazifik (1944),6.5,1944,0,0,2,27
Redentor (2004),7,2004,3,8,0,4
Mr. and Mrs. Iyer (2002),7.9,2002,10,1,11,40
Dr. Phil (TV Series 2002– ),3.9,2002,0,0,0,21
Pran Jaaye Par Shaan Na Jaaye (2003),6.6,2003,0,0,0,4
The 52nd Annual Academy Awards (1980),5.7,1980,0,1,0,1
The Directors The Films of Sydney Pollack (TV Episode 2000),7.1,2000,0,0,0,0
Lord of the Piercing (TV Short 2002),7.7,2002,0,0,0,21
Shakthi: The Power (2002),6.1,2002,0,0,0,18
11:14 - Elevenfourteen (2003),7.2,2003,1,5,3,129
Der Herr des Hauses (2005),5.4,2005,0,0,25,90
Ein Mann für eine Saison (2005),6.2,2005,0,0,167,203
Saved! - Die Highschool-Missionarinnen (2004),6.9,2004,1,6,8,320
School of Rock (2003),7.1,2003,8,11,653,455
Troja (2004),7.2,2004,3,17,778,1665
Der Weg zum Glück (1944),7.4,1944,11,3,43,53
Intermission (2003),6.9,2003,6,11,61,95
Feast of Death (2001),7.1,2001,0,0,0,10
Garden State (2004),7.7,2004,12,26,50,976
Dial M for Murder (TV Movie 1967),6.9,1967,0,0,0,0
Das Mädchen mit dem Perlenohrring (2003),7,2003,14,35,189,284
Die Passion Christi (2004),7.1,2004,22,10,875,2764
Die purpurnen Flüsse 2 - Die Engel der Apokalypse (2004),5.9,2004,0,0,3,44
Baghban - Und am Abend wartet das Glück (2003),7.4,2003,2,20,38,32
On the Road - Unterwegs (2012),6.1,2012,2,3,3246,114
Die Rugrats auf Achse (2003),5.5,2003,0,0,7,33
The Snow Walker (2003),7.5,2003,8,20,6,84
Birth (2004),6,2004,2,9,293,359
Final Call - Wenn er auflegt\,http://www.imdb.com/title/tt0337921/,5640,video.movie,0,25,145
Girls Gone Wild on Campus 2 (Video 2003),6.3,2003,0,0,0,3
Haute tension (2003),6.9,2003,5,5,616,525
Die Invasion der Barbaren (2003),7.7,2003,41,27,63,163
Alice Paul - Der Weg ins Licht (TV Movie 2004),7.7,2004,3,12,29,108
Biography Jennifer Jones: Portrait of a Lady (TV Episode 2001),8,2001,0,0,0,1
Monsters\,http://www.imdb.com/title/tt0338261/,,game,0,0,0
Zwei Brüder (2004),7.1,2004,2,2,221,122
Das Rettungsboot (1944),7.9,1944,2,0,68,113
John Wayne Made Me Cry: Our Western Heros (TV Movie 2002),3.5,2002,0,0,0,0
Kops (2003),6.8,2003,5,1,0,30
Mr 3000 (2004),5.5,2004,1,5,13,58
Pure Rage: The Making of '28 Days Later' (TV Movie 2002),6.3,2002,0,0,0,7
The 28th Annual Academy Awards (1956),5.4,1956,0,0,0,0
Hostage - Entführt (2005),6.6,2005,0,0,64,276
Die Maske des Dimitrios (1944),7.2,1944,0,0,5,43
Ônibus 174 (2002),7.9,2002,11,5,5,49
Helena von Troja (TV Movie 2003),6.4,2003,1,4,4,168
Puerto Vallarta Squeeze (2004),5.6,2004,0,0,0,15
Hae anseon (2002),6.6,2002,3,1,0,11
Unleashed - Entfesselt (2005),7,2005,0,0,109,295
A Decade Under the Influence (2003),7.6,2003,1,1,6,19
Detective Fiction (2003),6.3,2003,1,0,5,5
Dänische Delikatessen - Darf's ein bisschen mehr sein? (2003),7.3,2003,7,8,0,30
Taxi für eine Leiche (2002),6.5,2002,1,1,0,0
Ministerium der Angst (1944),7.2,1944,0,0,19,46
The 53rd Annual Academy Awards (1981),6.6,1981,0,1,0,0
Edith Head: The Paramount Years (Video 2002),6.1,2002,0,0,0,5
Forever Ealing (TV Movie 2002),6.9,2002,0,0,0,3
Der gute Hirte (2006),6.7,2006,3,6,277,471
The Making of 'Cape Fear' (Video 2001),6,2001,0,0,0,4
The Animated Adventures of Bob & Doug McKenzie (TV Series 2003– ),6.9,2003,0,0,0,3
Rules of Engagement (TV Mini-Series 1989),7,1989,0,0,0,1
Arthur und die Minimoys (2006),6,2006,1,2,55,62
The Awful Truth (1925),6.8,1925,0,0,0,0
Code 46 (2003),6.3,2003,4,10,38,146
Leben nach dem Tod in Bangkok (2003),7.7,2003,7,5,15,45
Latter Days (2003),7.3,2003,3,0,31,246
Der SpongeBob Schwammkopf Film (2004),6.9,2004,1,9,42,167
Sky Captain and the World of Tomorrow (2004),6.1,2004,3,11,124,604
Ghost in the Shell - Stand Alone Complex (TV Series 2002–2005),8.5,2002,0,0,11,31
17 Days Down the Line (1972),6.8,1972,0,0,0,0
The Rising - Aufstand der Helden (2005),6.7,2005,1,2,4,80
The 75th Annual Academy Awards (2003),6.2,2003,1,7,0,18
Mord\,http://www.imdb.com/title/tt0037101/,5400,video.movie,1,18,14
Alexander (2004),5.5,2004,2,9,833,1375
Andaaz (2003),5.2,2003,3,7,57,12
Anden live i Cirkusbygningen - Hva' snakker du om? (Video 2001),7.7,2001,0,0,0,1
Chalte Chalte - Wohin das Schicksal uns führt (2003),6.7,2003,0,0,40,28
Ghost in the Shell 2 - Innocence (2004),7.6,2004,2,7,28,95
Indian Love Story - Kal Ho Naa Ho (2003),8,2003,32,39,136,102
Khakee - Das tödliche Gesetz Indiens (2004),7.4,2004,0,0,65,32
Das Korsarenschiff (1944),7.1,1944,0,0,0,25
Suchîmubôi (2004),6.9,2004,1,0,0,77
The Door in the Floor - Tür der Versuchung (2004),6.8,2004,3,4,120,128
Gothika (2003),5.8,2003,2,7,160,369
Dae Jang-hwa Hong-ryeon jeon (1962),6.9,1962,0,0,0,0
King Arthur (2004),6.3,2004,4,7,1089,872
Miracle - Das Wunder von Lake Placid (2004),7.5,2004,1,2,197,280
Das siebte Kreuz (1944),7.4,1944,0,0,5,29
Netaji Subhas Chandra Bose: The Forgotten Hero (2005),7.3,2005,1,0,0,6
Eine Liebe auf Umwegen (2004),5.9,2004,0,0,51,101
Celluloid Crime of the Century (Video 2003),7.3,2003,0,0,0,5
Behind the Scenes: Die Hard - With a Vengeance (TV Movie 1995),6.1,1995,0,0,0,0
De-Lovely - Die Cole Porter Story (2004),6.6,2004,1,8,21,221
Das Fenster gegenüber (2003),7.4,2003,21,16,5,48
The 40th Annual Academy Awards (1968),6.1,1968,0,0,0,1
The 56th Annual Academy Awards (1984),6.1,1984,0,1,0,0
Godfather (1991),7.9,1991,2,0,0,1
The World of 'The Dark Crystal' (TV Movie 1983),7.7,1983,0,0,0,2
Hollywood: The Gift of Laughter (TV Movie 1982),7.3,1982,0,0,0,0
Fünf Helden (1944),7.7,1944,0,0,0,42
Stuart Little (TV Series 2003– ),4.8,2003,0,0,3,3
Cinderella Story (2004),5.8,2004,6,8,104,228
Death in Hollywood (Video 1990),6.2,1990,0,0,0,2
Die Vergessenen (2004),5.8,2004,0,0,89,436
Garfield: Der Film (2004),4.9,2004,0,0,269,231
Die Familie Stone - Verloben verboten! (2005),6.3,2005,3,6,196,459
180°: Christopher Nolan Interviews Al Pacino (Video 2002),7.6,2002,0,0,0,0
The Flyboys (2008),7,2008,21,0,6,75
Der Rächer der Enterbten (1944),7.1,1944,0,0,2,37
Darf ich bitten? (2004),6,2004,0,0,159,202
That Moment: Magnolia Diary (Video 2000),7.4,2000,0,0,0,2
Comic Books & Superheroes (Video 2001),6.4,2001,0,0,0,1
Kali tapa karfitsa (2000),7.5,2000,1,0,0,0
Wimbledon - Spiel\,http://www.imdb.com/title/tt0360201/,5880,video.movie,0,22,128
Constantine (2005),6.9,2005,1,5,832,984
King Kong (2005),7.3,2005,24,51,1587,2594
The Son of Samsonite (2002),7.7,2002,1,0,0,1
Haben und Nichthaben (1944),8,1944,0,0,72,136
.hack//SIGN (TV Series 2002– ),7.1,2002,0,0,0,15
Wir leben nicht mehr hier (2004),6.4,2004,3,3,48,71
Liebe lieber indisch (2004),6.2,2004,0,0,6,275
Gokudô kyôfu dai-gekijô: Gozu (2003),7.2,2003,5,2,31,79
Journey to Safety: Making 'Tears of the Sun' (Video 2003),5.4,2003,0,0,0,3
Palindrome (2004),6.8,2004,0,0,67,112
Die Maske 2 - Die nächste Generation (2005),2.1,2005,1,7,41,229
Mord auf Seite eins (TV Mini-Series 2003),8.7,2003,16,10,130,30
The Way Ahead (1944),7.1,1944,1,0,13,25
Die Tiefseetaucher (2004),7.3,2004,4,9,343,619
The Box (2009),5.6,2009,0,0,707,354
Gauner unter sich (2004),6.4,2004,0,0,52,62
Day for Night: The Making of 'Insomnia' (Video 2002),5.3,2002,0,0,0,0
A Director's Journey: The Making of 'Red Dragon' (Video 2003),6.2,2003,0,0,0,1
Aan: Men at Work (2004),5.1,2004,0,0,0,7
The White Cliffs of Dover (1944),7.1,1944,0,0,11,26
Lawrence of Arabia: A Conversation with Steven Spielberg (Video 2000),6.5,2000,0,0,0,0
Die Chroniken von Narnia - Der König von Narnia (2005),6.9,2005,14,36,201,1449
Red Dead Revolver (Video Game 2004),7.8,2004,0,0,0,6
Taking Lives - Für Dein Leben würde er töten (2004),6.1,2004,0,0,102,300
Ju-on (2002),6.7,2002,1,1,195,177
Liebe mich\,http://www.imdb.com/title/tt0364517/,5580,video.movie,5,6,39
Plan (2004),4.3,2004,0,0,0,8
American Chopper: The Series (TV Series 2003– ),6.4,2003,4,2,196,21
Die Parade des Todes (1925),8.3,1925,3,0,31,38
Wing and a Prayer (1944),7,1944,0,0,3,20
The 59th Annual Golden Globe Awards (2002),4.3,2002,0,0,0,0
Art School Confidential (2006),6.3,2006,0,0,55,130
The Assassination of Richard Nixon (2004),7,2004,2,3,32,201
Complicated Women (TV Movie 2003),7.7,2003,0,0,0,8
Enemy at the Gates: Through the Crosshairs (Video 2001),7.8,2001,0,0,0,3
Ginger Snaps III: Der Anfang (2004),5.9,2004,0,0,4,95
Mord und Margaritas (2005),6.9,2005,1,2,133,234
Revolver (2005),6.5,2005,1,0,140,456
An deiner Schulter (2005),6.9,2005,4,8,67,217
Whiteout (2009),5.5,2009,0,0,505,131
The Call (2003),6.3,2003,0,0,22,70
Five Children and It (2004),5.7,2004,2,0,17,26
Happy Feet (2006),6.5,2006,14,16,946,538
Liar Liar: Bridging the Comedy Chasm (Video 1999),6.8,1999,0,0,0,0
MirrorMask (2005),7,2005,5,2,41,149
Allotment Wives (1945),7.2,1945,0,0,0,11
Arrested Development (TV Series 2003–2013),9.2,2003,27,50,4611,276
The Essence of Combat: Making 'Black Hawk Down' (Video 2002),7.3,2002,0,0,0,2
Hannibal Rising - Wie alles begann (2007),6.2,2007,0,0,203,377
The Village - Das Dorf (2004),6.5,2004,3,10,416,1975
The Second Renaissance Part II (2003),7.9,2003,0,0,2,13
I'm Not There (2007),7,2007,23,14,427,229
Ong-bak (2003),7.2,2003,2,2,108,366
Infernal Affairs - Abstieg in die achte Hölle (2003),7.4,2003,4,11,10,44
Two and a Half Men (TV Series 2003– ),7.3,2003,28,63,10000,251
AFI's 100 Years... 100 Heroes & Villains (2003),6.7,2003,0,0,0,6
Dick und Jane (2005),6.1,2005,0,0,163,251
Das letzte Wochenende (1945),7.7,1945,1,0,87,124
'Rear Window' Ethics: Remembering and Restoring a Hitchcock Classic (Video 2000),7.4,2000,0,0,0,4
Himmel und Huhn (2005),5.8,2005,3,14,240,239
Iron Man (2008),7.9,2008,15,43,22252,993
Kaze no jûtan (2003),7.1,2003,1,0,0,1
Rottweiler (2004),3.1,2004,0,0,8,50
The Resurrection of Michael Myers (Video 1987),5.9,1987,0,0,0,2
Stahlgewitter (1945),6.7,1945,0,0,7,26
Team America (2004),7.2,2004,1,7,208,686
Imaginary Heroes (2004),7.3,2004,1,2,20,53
Naked Fear (1999),5.7,1999,0,0,0,4
Recruiting a Digital Army (Video 2000),,2000,0,0,0,0
Saints and Soldiers (2003),6.9,2003,16,2,9,156
Shogun: Total War (Video Game 2000),7.8,2000,1,1,0,2
Spike Lee's '25th Hour': The Evolution of an American Filmmaker (Video 2003),6,2003,0,0,0,3
Kiss Kiss Bang Bang (2005),7.7,2005,4,12,913,323
Die Glocken von St. Marien (1945),7.5,1945,3,7,3,45
Die Dolmetscherin (2005),6.4,2005,4,1,170,406
Kontroll (2003),7.7,2003,18,3,89,127
Strings (2004),7,2004,3,3,0,21
Wächter über Himmel und Erde (2003),6.4,2003,7,9,0,32
Infernal Affairs 3 (2003),7,2003,2,8,5,26
Verliebt in eine Hexe (2005),4.8,2005,1,6,159,475
Frühling\, Winter... und Frühling (2003),8.1,6180,2003,12,7
Footpath (2003),5.3,2003,1,0,0,4
Tatort Springfield (1945),7.1,1945,0,0,0,34
Napoleon Dynamite (2004),6.9,2004,10,18,558,1430
Strandvaskaren (2004),4.6,2004,0,0,0,9
White Noise - Schreie aus dem Jenseits (2005),5.5,2005,1,2,148,404
L.A. Crash (2004),7.9,2004,52,74,666,1592
Hollywood and the Muslim World (TV Movie 2003),7,2003,0,0,0,0
Detour (1945),7.5,1945,1,0,38,141
Die Rückkehr (2003),8.1,2003,27,12,32,159
Der Flug des Phoenix (2004),6.1,2004,0,0,103,214
Der Duft von Lavendel (2004),7.1,2004,0,0,7,107
Mean Creek (2004),7.3,2004,4,4,153,147
Girls Club - Vorsicht bissig! (2004),6.9,2004,7,16,4560,515
Ring 2 (2005),5.3,2005,2,6,226,557
Be Cool - Jeder ist auf der Suche nach dem nächsten großen Hit (2005),5.6,2005,1,10,299,318
Kinder des Olymp (1945),8.3,1945,1,0,84,87
Lieber Frankie (2004),7.9,2004,8,5,20,176
Ein Duke kommt selten allein (2005),5,2005,2,9,267,611
The Visual Bible: The Gospel of John (2003),7.6,2003,1,3,3,72
Hum Tum - Ich & du\,http://www.imdb.com/title/tt0378072/,8520,video.movie,13,2,210
Machuca\,http://www.imdb.com/title/tt0378284/,7260,video.movie,10,0,6
Michael Blanco (2004),7.1,2004,0,0,0,2
Melinda und Melinda (2004),6.5,2004,0,0,76,172
Los Angeles Plays Itself (2003),7.9,2003,2,0,0,26
Das Haus in der 92. Straße (1945),6.8,1945,1,0,0,52
Once Upon a Time: Sergio Leone (Video 2001),6.1,2001,0,0,0,2
Capote (2005),7.4,2005,57,46,1015,396
Charlie: The Life and Art of Charles Chaplin (2003),8,2003,0,0,0,4
Serenity - Flucht in neue Welten (2005),8,2005,8,5,1306,1561
Ein verlockendes Spiel (2008),6.1,2008,0,0,241,119
Der Kaufmann von Venedig (2004),7.1,2004,2,5,206,156
Goal! - Lebe deinen Traum (2005),6.8,2005,1,6,8,108
Intimate Portrait Diane Keaton (TV Episode 2001),7.3,2001,0,0,0,0
In meinem Himmel (2009),6.7,2009,8,22,2520,560
Mulgogijari (2000),6.5,2000,0,0,0,2
James Bond 007 - Casino Royale (2006),8,2006,17,29,3923,2245
Tropical Malady - Liebe kennt nur den Moment... (2004),7.2,2004,5,3,6,26
The 76th Annual Academy Awards (2004),6.1,2004,1,10,5,16
Coco - Der neugierige Affe (2006),6.6,2006,0,0,152,116
Hide and Seek - Du kannst dich nicht verstecken (2005),5.9,2005,1,4,162,439
The Spooky House (2003),6.7,2003,0,0,0,2
Yuva (2004),7.5,2004,12,14,0,35
The Da Vinci Code - Sakrileg (2006),6.5,2006,1,16,1435,1941
Der rosarote Panther (2006),5.5,2006,1,3,228,418
Grand Theft Auto: San Andreas (Video Game 2004),9.5,2004,3,2,2,76
Sex at 24 Frames Per Second (Video 2003),6.2,2003,0,0,0,3
I Love the '80s Strikes Back (TV Series 2003– ),8.4,2003,0,0,0,14
Silent Hill (2006),6.6,2006,0,0,1953,1706
The Weather Man (2005),6.7,2005,0,0,156,309
Rom (TV Series 2005–2007),9,2005,14,26,46,175
Solange ein Herz schlägt (1945),8,1945,3,5,220,244
(Ohne Titel) (2003),6.3,2003,0,0,0,0
S.H.I.T. - Die Highschool GmbH (2006),6.5,2006,0,0,220,201
Amityville Horror - Eine wahre Geschichte (2005),5.9,2005,2,4,842,509
The Dying Gaul (2005),6.6,2005,1,1,16,57
Green Street Hooligans (2005),7.6,2005,3,0,153,367
Picture Again (2003),5.2,2003,0,0,0,0
Eretz Nehederet (TV Series 2003– ),7.9,2003,5,2,0,3
Chuet chung tit gam gong (2003),5,2003,0,0,0,1
Der Held von Burma (1945),7.4,1945,0,0,4,60
Der goldene Kompass (2007),6.1,2007,3,26,766,652
My Big Fat Independent Movie (2005),3.3,2005,2,0,9,24
Wo die wilden Kerle wohnen (2009),6.8,2009,5,25,2094,374
The Work of Director Spike Jonze (Video 2003),8.1,2003,0,0,0,6
Die Legende des Zorro (2005),5.9,2005,1,3,168,239
Drawn Together (TV Series 2004–2008),7,2004,1,0,57,66
The Formula (Video 2002),7.8,2002,0,0,0,4
Manhunt (Video Game 2003),8.3,2003,0,0,0,20
Frühling des Lebens (1945),7.6,1945,0,0,0,33
The Making of 'Alien³' (Video 2003),7.6,2003,0,0,0,2
Couchgeflüster - Die erste therapeutische Liebeskomödie (2005),6.3,2005,0,0,558,192
Black Dahlia (2006),5.6,2006,2,7,350,633
Caché (2005),7.3,2005,23,23,119,339
Verrückte Weihnachten (2004),5.1,2004,2,1,61,188
Transporter - The Mission (2005),6.3,2005,0,0,170,331
The Right Way (2004),8.2,2004,0,0,24,4
Something to Do with Death (Video 2003),6.8,2003,0,0,0,3
Black Book (2006),7.9,2006,14,17,232,225
30 Days of Night (2007),6.6,2007,0,0,23,510
Bee Movie - Das Honigkomplott (2007),6.2,2007,0,12,183,200
Friday Night Lights - Touchdown am Freitag (2004),7.3,2004,2,5,147,286
Der Fluch (2004),5.8,2004,3,7,695,904
I Want Someone to Eat Cheese With (2006),6.3,2006,0,0,8,28
So was wie Liebe (2005),6.6,2005,1,3,52,156
The Century: America's Time (TV Mini-Series 1999),8.4,1999,0,0,0,2
'Sunset Blvd.': A Look Back (Video 2002),7,2002,0,0,0,3
Ishq Hai Tumse (2004),3.2,2004,0,0,0,3
Screen Snapshots Series 25\,http://www.imdb.com/title/tt0038059/,540,video.movie,0,0,0
Baywatch - Die Rettungsschwimmer von Malibu Lover's Cove (TV Episode 1993),6.9,1993,0,0,0,1
The Last Detective Tricia (TV Episode 2003),8,2003,0,0,0,1
Producers' Showcase The Letter (TV Episode 1956),5.7,1956,0,0,0,0
